"RAE","Ministere (Client)","NOM DU SITE","Label","ADRESSE","CODE POSTAL","VILLE"
30002524096202,"JUSTICE","ANNEXE DU TRIBUNAL DE GRANDE INSTANCE D AIX EN PROVENCE","Tribunal","IMPASSE DES FRERES PRATESI 13090 AIX EN PROVENCE",13090,"AIX EN PROVENCE"
30002530038891,"INTERIEUR","PREFECTURE DU VAR","Service","AVENUE 112E REGIMENT D INFANTERIE",83000,"TOULON"
30002530120483,"INTERIEUR","UNITE D'INSTRUCTION ET D'INTERVENTION SECURITE CIVILE Nďż˝7","Caserne","QUARTIER DE RAMATUELLE",83170,"BRIGNOLES"
30002531902351,"Ministďż˝res ďż˝conomiques et financiers","CITE ADMINISTRATIVE 0000","Administration","13 RUE DE LORGUES",83000,"TOULON"
30002540351442,"JUSTICE","MAISSONR D'ARRET DE NICE","Prison","12 RUE DE LA GENDARMERIE 06000 NICE",6000,"NICE"
30002540372035,"Ministďż˝res ďż˝conomiques et financiers","TRESORERIE GENERALE DES A M","Administration","15 B RUE DELILLE",6000,"NICE"
30002540923270,"Ministďż˝res ďż˝conomiques et financiers","HOTEL DES FINANCES","Administration","35 AVENUE THIERS",6000,"NICE"
30002541519628,"INTERIEUR","COMMISSARIAT NICE OUEST","Commissariat","BOULEVARD DU SOUVENIR FRANCAIS",6200,"NICE"
30002580159329,"Ministďż˝res ďż˝conomiques et financiers","DIRECTION DES IMPOTS PACA - AVIGNON* DIR SVCES FIS","Administration","COURS JEAN JAURES",84000,"AVIGNON"
30002581098026,"JUSTICE","PALAIS DE JUSTICE D AVIGNON","Tribunal","2 BOULEVARD LIMBERT 84078 AVIGNON CEDEX 9",84078,"AVIGNON CEDEX 9"
30002581407955,"INTERIEUR","PREFECTURE DE VAUCLUSE","Service","28 BOULEVARD LIMBERT",84905,"AVIGNON"
30002584096586,"INTERIEUR","SGAP HOTEL DE POLICE AVIGNON","Administration","BOULEVARD SAINT ROCH",84000,"AVIGNON"
30002590707766,"JUSTICE","PALAIS DE JUSTICE DE GRASSE","Tribunal","37 AVENUE PIERRE SEMARD 06130 GRASSE",6130,"GRASSE"
50006222821473,"INTERIEUR","GENDARMERIE NATIONALE","Commissariat","BOULEVARD DES MONTS D OR",69580,"SATHONAY CAMP"
50027785809597,"INTERIEUR","GENDARMERIE NATIONALE","Commissariat","RUE CLAUDE BERNARD",92130,"ISSY LES MOULINEAUX"
50059334290607,"EDUCATION","RECTORAT ACADEMIE DE DIJON","Ecole","RUE DU GENERAL DELABORDE",21000,"DIJON"
50066136026009,"JUSTICE","CITE JUDICIAIRE","Administration","QUARTIER KILMAINE 13150 TARASCON",13150,"TARASCON"
50072937726346,"INTERIEUR","DDSP 63 - HOTEL DE POLICE","Commissariat","106 AVENUE DE LA REPUBLIQUE",63018,"CLERMONT FERRAND"
50074384904850,"INTERIEUR","GENDARMERIE NATIONALE","Commissariat","ALLEE PAUL DELORME",69580,"SATHONAY CAMP"
50081041923418,"INTERIEUR","HOTEL DE POLICE DE BEAUVAIS","Commissariat","135 RUE DES DEPORTES",60000,"BEAUVAIS"
